timestamp,data
1724595494361648675,"array('d', [0.10860777343258168, -0.18008000846980599, 0.10216688017419188, -0.16645078365366225])"
1724595494363568071,"array('d', [0.12281331085465583, -0.19132589229363767, 0.12948005635050483, -0.19045616121704725])"
1724595494368224527,"array('d', [0.14082949963456948, -0.21102786911624558, 0.1417611138032503, -0.20825386479427435])"
1724595494375334812,"array('d', [0.15998147468972077, -0.21755716679190737, 0.15442694095783682, -0.2183353361506089])"
1724595494451381777,"array('d', [0.2427692646510554, -0.3344513809367861, 0.23839850816378533, -0.3190688018447474])"
1724595494530706539,"array('d', [0.3008974843611921, -0.4165454067092432, 0.2945477318472756, -0.39272820426262295])"
1724595494534499392,"array('d', [0.321416360096735, -0.4209679429266297, 0.29873094467790434, -0.4254835142688597])"
1724595494537804324,"array('d', [0.322570879688966, -0.4285042090123614, 0.2606379022488079, -0.42504843824385663])"
1724595494544635699,"array('d', [0.32525079645255484, -0.4217105400317147, 0.2782621647788156, -0.42697039237269185])"
1724595494552585941,"array('d', [0.3111871270715315, -0.406411313675961, 0.28362915485405815, -0.3903720160556159])"
1724595494562058075,"array('d', [0.2880392723556851, -0.37627508977476165, 0.28223468041494604, -0.35444256649589817])"
1724595494572120735,"array('d', [0.2695574869781388, -0.33591089576860556, 0.2724057931079601, -0.3333629541708013])"
1724595494574395447,"array('d', [0.2545344191830063, -0.2986741132668009, 0.2783312044189709, -0.31638488583371055])"
1724595494580793277,"array('d', [0.23430054244981177, -0.34552466566022955, 0.24110157846523114, -0.35220025159780577])"
1724595494584985613,"array('d', [0.23866266898206243, -0.2745075028852484, 0.26186693413559675, -0.3027485044695019])"
1724595494586853602,"array('d', [0.21927579076101691, -0.27950887754905884, 0.24505830759827724, -0.27746463064299737])"
1724595494588667320,"array('d', [0.20409212160784027, -0.24245521848303198, 0.23946672820582218, -0.2607279905597422])"
1724595494592218712,"array('d', [0.18300493176126298, -0.19991374997149072, 0.22125752311486466, -0.2550162232571388])"
1724595494594187431,"array('d', [0.1359883053553876, -0.12787593715043333, 0.16043528403171708, -0.18198912290946595])"
1724595494609075717,"array('d', [0.0845687179959502, -0.057211971071124613, 0.1021487783173219, -0.08693227323772991])"
1724595494610637140,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494612501014,"array('d', [0.0, 0.0, 0.036079105608956795, -0.052972558289515824])"
1724595494618776186,"array('d', [0.0, 0.024336473154739476, 0.0, 0.0])"
1724595494622251588,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494625142244,"array('d', [-0.014350983737157392, 0.04097186913154734, -0.04910760136106637, 0.022491978134371184])"
1724595494627157318,"array('d', [-0.06373327025189038, 0.04359432302390938, -0.03472588656457156, 0.0])"
1724595494631989766,"array('d', [-0.08314603833799411, 0.06695497980133203, -0.07359772981249292, 0.0])"
1724595494633669211,"array('d', [-0.1099502576548696, 0.08506715051999815, -0.10057265384938652, 0.014111239376983994])"
1724595494642383420,"array('d', [-0.13017550443304474, 0.13007910152087665, -0.08376129098486579, 0.045706978110002794])"
1724595494644398650,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494648311661,"array('d', [-0.10774646182430289, 0.16278010595650347, -0.08494885699021988, 0.07970542261245034])"
1724595494673031042,"array('d', [-0.12039102982140255, 0.22180226271462647, -0.11125653816341755, 0.15385988976704917])"
1724595494679871324,"array('d', [-0.1466595604669512, 0.268958441807767, -0.13698411796994453, 0.18003685869470892])"
1724595494689525803,"array('d', [-0.1609187719995119, 0.2778931815800588, -0.1409090636101143, 0.2049767972406838])"
1724595494691157122,"array('d', [-0.16268117720384193, 0.2848116691784253, -0.1292594662807404, 0.2414126778193455])"
1724595494696568899,"array('d', [-0.167926084988566, 0.282847617708032, -0.1389778480661363, 0.22074877674213497])"
1724595494706353797,"array('d', [-0.17683851316983204, 0.27740169511736795, -0.1463400416445252, 0.2295972169642327])"
1724595494708184702,"array('d', [-0.1659016238330368, 0.2649229906460072, -0.16184638692074474, 0.20381785742758923])"
1724595494721402709,"array('d', [-0.18364649524660848, 0.27925566203958685, -0.15624112589228328, 0.2403482465380489])"
1724595494728149761,"array('d', [-0.18387803062517805, 0.2788795222927652, -0.14891408359409541, 0.27541112232179304])"
1724595494754517076,"array('d', [-0.18793663532479477, 0.2889540475877427, -0.14280323349352114, 0.2918255072554209])"
1724595494757012520,"array('d', [-0.20401045276521754, 0.3335774401260399, -0.13399141795857897, 0.2740252778377003])"
1724595494778051184,"array('d', [-0.1712233592661044, 0.29361317086468575, -0.1641952080929791, 0.29424673585513517])"
1724595494812176552,"array('d', [-0.145540402641629, 0.27845349719619716, -0.17682062179966984, 0.28612594818186926])"
1724595494818695424,"array('d', [-0.1498019165275558, 0.2763292653411753, -0.18308007551594419, 0.30141991236992816])"
1724595494820688206,"array('d', [-0.142793340618255, 0.2614806910268011, -0.20091524572715802, 0.31644424308530744])"
1724595494843302512,"array('d', [-0.1400942695642572, 0.25604087255066305, -0.16993602256125762, 0.30100188576825626])"
1724595494858651011,"array('d', [-0.14943251235538343, 0.2387274988880619, -0.17517482623145578, 0.29045271294721114])"
1724595494869067061,"array('d', [-0.1374082486861424, 0.23474908962411334, -0.17032542297067008, 0.28174361492567074])"
1724595494874648736,"array('d', [-0.12519012675902633, 0.23103231533794844, -0.18607993207537463, 0.2700580243692647])"
1724595494876699851,"array('d', [-0.14221092389779863, 0.25624209784331076, -0.14825673360566563, 0.27076126045999277])"
1724595494880835104,"array('d', [-0.13630740320439802, 0.2227437697585735, -0.17681557011868287, 0.24940527908756702])"
1724595494882459289,"array('d', [-0.1333675353566879, 0.2263475126826549, -0.1698564585857128, 0.2767081414151982])"
1724595494884480300,"array('d', [-0.1464393913706023, 0.24647825092903208, -0.19326636925275845, 0.25929499705310444])"
1724595494889225351,"array('d', [-0.1429552048965459, 0.21277217246370558, -0.1772900071580427, 0.26019798502952574])"
1724595494890979328,"array('d', [-0.13824724870339541, 0.19901876048996547, -0.17387696519121945, 0.26062211574572364])"
1724595494894420199,"array('d', [-0.1315674530316634, 0.21332743639885696, -0.18474523586127498, 0.2591754406030794])"
1724595494899454263,"array('d', [-0.12776143238139528, 0.18488142076121544, -0.16662043594014142, 0.25553233666464115])"
1724595494903793477,"array('d', [-0.12229698696044569, 0.17480079135171203, -0.1670268857728849, 0.23914026332203914])"
1724595494908650196,"array('d', [-0.12030809805853311, 0.18070789031914508, -0.1540785854564435, 0.2333009410745146])"
1724595494913611343,"array('d', [-0.12609543008923335, 0.1665166659932007, -0.1592121457727464, 0.23484928129702165])"
1724595494915333966,"array('d', [-0.12840825803443554, 0.1673487199490966, -0.15357699563177873, 0.21363032677136748])"
1724595494917791076,"array('d', [0.0, 0.0, -0.14608114299394284, 0.23107967484720127])"
1724595494921404083,"array('d', [-0.13339931884956427, 0.14886188289056337, -0.14776882541700723, 0.18832266794688257])"
1724595494923197644,"array('d', [-0.13200358149020536, 0.15184511100007836, -0.15518995527357746, 0.18201417082769303])"
1724595494925141415,"array('d', [-0.12247674260889879, 0.13496028827453874, -0.1429977232115196, 0.14736006023047804])"
1724595494932652642,"array('d', [-0.10485100667193656, 0.12950005258774494, -0.12161964073477582, 0.10259795695174687])"
1724595494937213785,"array('d', [-0.08568261365357763, 0.10588323348694126, -0.13300739259965833, 0.0])"
1724595494938832136,"array('d', [0.0, 0.12034935345326005, -0.10282338821579051, 0.09599540990177396])"
1724595494941323673,"array('d', [-0.09202584107955261, 0.09285999990252643, -0.10962505569133324, 0.06972624779610197])"
1724595494942981035,"array('d', [-0.08771444184387947, 0.0, 0.0, 0.06904195550907499])"
1724595494948051975,"array('d', [-0.07928339676333034, 0.0665091689542317, -0.07736544188194316, 0.050241282769226084])"
1724595494952576815,"array('d', [-0.07267011489126012, 0.04748306495033917, 0.0, 0.054854309457163034])"
1724595494954265323,"array('d', [-0.06841786242047611, 0.0, -0.044106647670671496, 0.0408329479044056])"
1724595494955851121,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494962379108,"array('d', [-0.04503068431787186, 0.03583830881524444, -0.025083490480688017, 0.048771454088724915])"
1724595494963903552,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494970439924,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494972715626,"array('d', [0.0, 0.0, 0.0, 0.0])"
1724595494978651732,"array('d', [0.0, 0.0, 0.013300865551990506, 0.0])"
1724595494980180967,"array('d', [0.0, -0.009475901098021247, 0.0, 0.0])"
1724595494984047988,"array('d', [0.0, 0.0, 0.0, -0.0098076281494991])"
1724595494985355137,"array('d', [0.010996036101684354, -0.04919453237138385, 0.0458288499138135, -0.05037936204953667])"
1724595494992198805,"array('d', [0.03937301209917058, -0.0697140395670501, 0.0963006156280702, -0.06653442735916656])"
1724595495001011973,"array('d', [0.08578996187455079, -0.08682366209651, 0.13644000983030605, -0.09479542518066023])"
1724595495007820692,"array('d', [0.11768795951995677, -0.08801880562334455, 0.1739247456738879, -0.11351232421080851])"
1724595495015858227,"array('d', [0.1501679529124035, -0.10803672299434602, 0.15382242313306246, -0.12361800153853898])"
1724595495024599103,"array('d', [0.13806770354165013, -0.13784942882567136, 0.1429335247656435, -0.14275924177159294])"
1724595495031359384,"array('d', [0.1363389762105666, -0.18196912667222584, 0.12663280265422253, -0.1660194963893995])"
1724595495040605369,"array('d', [0.13867074795946993, -0.22556913283724558, 0.11709943868497448, -0.21159618322727997])"
1724595495047866385,"array('d', [0.15311792412208758, -0.25456620267588265, 0.13579970926520732, -0.24094392392109604])"
1724595495055916160,"array('d', [0.16878423929622793, -0.2588938093880557, 0.16963755240961068, -0.24435717637462703])"
1724595495064230156,"array('d', [0.2018723287874815, -0.2794331023342543, 0.19449624308637845, -0.25425047261419687])"
1724595495071548256,"array('d', [0.22694087471191635, -0.2868096090087729, 0.21270629012416714, -0.26847348043301766])"
1724595495080996795,"array('d', [0.25100813536739175, -0.30112249465182017, 0.24895420607277194, -0.2831324062236726])"
1724595495088570836,"array('d', [0.2620115385038488, -0.31740911415381917, 0.27270763104693163, -0.30712052387701877])"
1724595495095580130,"array('d', [0.27356831119508707, -0.32750321471262117, 0.2953248487724382, -0.3186756126745947])"
1724595495137679804,"array('d', [0.3140204886450997, -0.3664356781323862, 0.3105811358398026, -0.3507891487087782])"
1724595495145382960,"array('d', [0.33484541205376994, -0.36927872209451273, 0.3283247443331275, -0.339575890324654])"
1724595495152105428,"array('d', [0.3509015486107383, -0.3696849614405484, 0.35627653718087693, -0.3576796415750085])"
